0;140;-20;160;0;60;140;60;140;300
0;120;60;40;0;60;40;60;100;0
20;120;60;140;-1;80;120;50;150;400
-60;-160;20;-20;0;20;20;0;120;100
20;40;80;120;0;0;20;0;-20;300
-20;-80;-100;-180;1;60;120;40;40;0
40;-20;40;100;-1;40;-40;20;20;-100
20;60;80;100;0;40;-100;20;80;0
20;-80;-20;140;1;-20;-260;0;-180;-100
40;20;80;200;1;20;0;-20;40;0
-80;-80;-40;60;1;0;0;0;-100;300
-60;-140;-60;80;-1;0;20;40;80;-100
-20;-60;0;120;-3;-20;-20;-100;0;100
-80;-280;40;-40;0;0;-60;20;20;-200
20;-80;-20;120;0;40;-80;-20;-60;0
-60;20;0;120;2;-20;40;0;50;-100
60;-80;100;60;-2;-40;-200;-40;20;-100
-60;-40;60;180;-1;20;-60;60;200;0
-40;100;-60;180;0;-40;-80;-20;-60;200
0;-160;-20;-60;0;-20;-80;0;-100;-300
40;-100;40;80;0;0;-120;80;20;-100
60;140;40;140;0;-40;20;0;20;200
-20;0;0;60;1;40;-60;50;0;0
-20;40;-20;80;0;20;-20;100;140;300
40;-160;60;20;1;0;-100;50;0;0
-60;0;-60;60;-1;80;140;40;100;300
-40;100;-40;140;0;40;60;20;140;200
-20;-80;-20;180;0;60;100;-20;80;0
40;-40;60;120;-1;20;20;0;20;100
40;200;0;100;1;20;140;100;300;100
40;-140;100;80;1;40;0;-20;80;-300
20;200;40;20;0;-40;20;-100;0;0
0;0;80;120;0;-20;-20;-60;40;100
-60;0;-20;140;-1;-20;60;20;20;0
-20;-100;20;20;1;0;-100;-40;-60;100
-20;-260;40;-20;1;-20;-20;0;75;0
60;180;40;100;0;-20;60;0;0;-100
-60;-140;0;40;1;20;-100;-33;-66;-100
-80;60;-80;140;-1;20;40;40;100;400
-100;-140;0;0;-1;20;100;100;240;100
20;60;-40;120;0;0;-60;20;-100;-600
-80;-100;-20;-40;0;80;220;100;240;-100
0;60;20;220;-1;-20;40;0;-20;100
60;300;0;300;-1;66;33;100;100;100
60;40;80;100;4;-20;-60;0;-100;-100
20;-20;60;120;1;80;100;20;-20;100
0;100;20;100;0;20;0;-33;66;100
0;40;20;40;11;0;-20;60;180;100
100;180;80;120;-1;60;100;100;125;100
-60;-100;-20;-60;0;0;-200;0;-200;200
-20;-220;20;-140;-14;20;-180;20;-40;-200
80;120;20;200;0;66;33;0;-100;0
-20;-220;-20;-100;0;-20;-140;0;-40;-100
0;80;60;140;0;20;-40;-50;-150;0
40;20;40;0;0;20;40;0;-50;-100
0;0;40;240;-14;0;-40;80;100;100
-100;-120;0;-20;1;20;20;40;0;100
20;20;40;140;-1;100;200;100;350;100
0;80;-60;-80;10;60;40;20;100;300
40;120;100;200;0;-20;-20;40;40;0
40;0;80;280;0;0;160;40;200;0
20;60;20;0;1;60;80;20;80;-100
-20;140;-100;160;1;60;80;100;160;0
20;120;40;220;-1;40;120;100;340;400
0;120;20;200;-1;-20;20;33;33;100
-60;-100;-40;-40;-1;-33;-66;-100;0;-100
-80;-220;-80;-220;1;40;60;20;-100;-100
-40;-60;40;100;1;20;-60;-40;-100;100
-60;-100;-40;-100;0;0;-160;-40;-140;0
0;0;20;-20;0;0;-80;0;-200;100
20;40;20;40;0;0;20;-33;33;-100
-20;-260;-20;-200;0;20;-140;-20;-160;-200
20;240;20;320;0;20;60;-40;40;100
-20;-40;-60;40;-5;40;100;60;200;0
-80;-100;-40;-220;9;20;-20;66;33;-100
80;100;20;240;5;60;-60;0;-50;-100
40;280;40;160;1;60;120;0;100;100
-20;-180;-20;20;-7;0;-100;60;20;100
60;-140;40;20;-9;0;-180;0;-60;0
-20;60;40;120;-10;40;100;40;80;-100
0;-220;-40;-200;0;20;-120;0;-60;-400
0;0;-20;20;1;100;180;100;200;400
40;140;100;240;0;40;0;50;25;0
20;120;-40;100;0;-40;-120;20;80;100
-20;20;0;-40;0;0;0;50;125;0
-80;-40;20;100;0;-20;-40;-20;-20;0
0;80;-80;-80;0;60;260;40;80;0
40;100;20;120;1;-40;0;40;0;100
20;0;60;-20;-2;40;-40;40;60;100
0;0;0;60;0;20;-120;-20;-160;0
40;-40;0;-60;0;-20;-180;-50;-150;100
40;80;40;280;-1;20;180;40;180;200
-60;-60;-20;0;0;-40;20;-66;-33;100
-40;-80;-20;-100;2;-20;-160;0;-250;0
-40;40;20;60;-5;100;220;100;260;100
-140;-100;-80;-60;0;-20;-40;-20;60;-200
-80;20;40;160;0;-20;-60;-80;-40;300
40;160;-60;100;-1;80;0;20;80;300
-20;20;20;-140;0;0;20;0;-80;0
100;40;40;20;1;20;100;100;133;-300
-80;-140;0;-20;-5;60;0;60;100;0
60;220;100;260;-2;60;180;100;280;100
-60;-160;20;20;0;-20;-140;-25;-75;300
-60;-60;-40;0;4;0;-20;20;80;-300
120;80;80;120;-1;20;-20;0;0;0
20;100;80;140;5;100;140;80;140;0
-40;-220;-20;-140;0;20;0;40;20;-400
-60;-200;40;-20;0;0;-360;0;-200;0
-60;120;-20;160;-1;20;-20;50;0;200
100;-20;180;160;1;60;120;100;220;200
100;140;0;20;-1;-60;80;-20;140;400
0;120;40;60;-1;40;80;80;160;200
60;140;20;380;-1;20;0;60;160;0
-40;-240;-20;-280;0;-40;-80;0;40;-200
20;240;20;160;-1;20;20;80;180;400
-60;-140;0;-20;6;-20;-180;-20;-120;0
40;140;20;140;-1;66;100;100;200;400
80;340;80;200;3;-40;40;-40;0;0
40;-220;60;-100;0;0;-60;0;40;0
20;20;60;100;-2;0;0;0;20;100
20;-120;60;0;-5;-40;0;0;20;-300
0;60;-60;140;2;0;-120;-50;-50;100
-40;160;0;140;-8;40;120;60;240;100
0;-260;-20;-60;-1;-20;-120;-25;0;200
20;-120;20;20;4;40;80;100;180;0
20;-80;60;-80;4;-20;-200;-20;-60;200
0;-140;-60;-120;2;0;100;20;160;0
0;-80;-20;20;1;40;-140;40;-20;-100
-40;180;20;220;1;-20;80;100;166;-300
0;-220;20;-120;0;-40;-60;-20;-20;0
20;180;-20;40;0;40;40;0;50;100
-60;-40;-120;-180;3;0;-80;-20;-120;100
60;200;40;180;-1;-40;0;-100;0;200
-60;40;0;140;-1;60;100;80;100;-100
20;200;-20;300;-1;60;40;50;50;200
0;-40;80;100;-4;-20;0;20;-20;0
-40;20;-40;60;0;-40;-100;-40;-160;100
20;140;0;120;0;20;-40;-40;0;300
40;140;-40;60;-1;0;-40;20;40;0
0;160;40;280;-2;80;180;60;120;400
-40;-180;-100;-140;-4;80;160;40;60;0
-20;-80;-20;0;0;-40;20;20;80;300
-20;-40;0;-60;1;60;-60;-20;-100;400
80;180;100;140;-1;80;100;60;120;300
-60;-300;0;-160;4;-20;60;0;40;100
80;-40;100;80;2;0;-160;0;-50;0
-40;-200;-20;-160;5;-60;-80;0;40;0
20;-220;20;-60;0;33;-66;0;-100;0
